title
Asal Usul Tari Guel
Beungong Meulu dan Beungong Peukeun
Banta Seudang
Banta Berensyah
Si Parkit Raja Parakeet
Putra Mahkota Amat Mude
Mentiko Betuah  
Si Kepar 
Tujuh Anak Lelaki
Asal Mula Danau Si Losung Dan Si Pinggan
Kisah Kelana Sakti
Batu Gantung (Legenda Kota Parapat)
Kisah Putri Ular
Asal Mula Danau Toba
Si Baroar
Si Beru Dayang: Asal Mula Padi 
Asal Mula Nama Pulau-pulau Di Mentawai 
Asal Mula Nama Simalungun 
Asal Mula Kolam Sampuraga
Asal Mula Pulau Si Kantan
Kisah Pohon Enau
Legenda Lau Kawar
Asal Usul Danau Maninjau
Asal Mula Sungai Ombilin dan Danau Singkarak 
Rambun Pamenan
Sabai nan Aluih
Siamang Putih
Asal Mula Nagari Koto Nan Ampek dan Koto Nan Gadang
Bujang Kirai yang Pemberani
Asal Mula Nama Nagari Minangkabau
Mak Isun Kayo
Malin Kundang
Asal Mula Pulau Sangkar Ayam
Hang Tuah Kesatria Melayu
Panglima Kawal dan Si Jangoi : Asal Mula Pulau Si 
Jangoi
Legenda Ikan Patin
Putri Pinang Masak
Legenda Putri Mambang Linau
Legenda Batang Tuaka (Indragiri Hilir)
Legenda Batu Rantai, Temasik Dilanda Todak
Putri Tujuh, Asal Mula Nama Kota Dumai (Dumai)
Si Lancang
Burung Tempua dan Burung Puyuh
Penghulu Tiga Lorong (Indragiri)
Burung Bayan dan Si Penggetah
Mahligai Keloyang, Asal Mula Nama Kelayang
Ketobong Keramat
Dang Gedunai, Asal Mula Naga Di Laut Lepas
Puteri Kaca Mayang, Asal Mula Kota Pekanbaru
Suak Air Mengubuk (Si Miskin Yang Tamak)
Kelingking Sakti
Awang Garang, Panglima Laut Bermata Satu
Si Bujang: Asal Mula Burung Punai
Bujang Buta
Batu Batangkup
Pangeran Suta dan Raja Bayang
Murid Durhaka (Riau)
Putri Pandan Berduri, Asal-Mula Persukuan di Pulau Bintan
Asal Mula Selat Nasi Di Pulau Subi
Legenda Pulau Senua
Asal Mula Nama Palembang
Beginde Lubuk Gong
Legenda Pulo Kemaro
Semesat dan Semesit
Raden Alit
Raja Empedu
Pengorbanan Putri Kemarau
Si Pahit Lidah
Anok Lumang
Putri Serindang Bulan
Keramat Riak
Legenda Batu Berambai
Kisah Ular NDaung
Si Gulap yang Sabar 
Putri Gading Cempaka
Legenda Ular Kepala Tujuh
Asal Mula Danau Tes
Sinatung Natak
Si Kelingking
Tan Talanai
Putri Ayu Nyimas Rahima
Asal Usul Suku Melayu Timur di Kuala Tungkal
Putri Rainun dan Rajo Mudo
Asal Mula Nama Lempur, Tebat Gelang, dan Tebat Jambi
Asal Usul Raja Negeri Jambi
Raja Jambi Penakluk Hantu Pirau
Putri Tangguk
Datuk Darah Putih
Buaya Perompak
Si Bungsu 
Sang Kabelah
Unang Batin
Ratu Ali
Putri Siluman
Sidang Belawan
Si Bugu yang Pandir
Kisah Telu Pak
Si Penyumpit
Legenda Batu Balai
Legenda Panglima Angin
Layang
Pak Udak dan Gergasi
Putri Pinang Gading
Si Kelingking
Bujang Katak 
Murtado Macan Kemayoran
Si Pitung
Asni dan Mirah
Untung Suropati
Angkri, Jagoan Tanjung Priok yang Angkuh
Legenda Codet
Si Jampang, Robin Hood dari Betawi
Tauke Pemberani dari Batavia
Ki Rangga Gading
Sangkuriang
Lutung Kasarung
Asal Mula Nama Kota Cianjur
Legenda Danau Situ Bagendit
Putri Kandita
Legenda Karang Nini dan Bale Kambang
Asal Usul Nama Girilawungan
Asal Mula Nama Dayeuh Manggung
Jaka Tarub
Timun Mas
Jaka Kendhil
Aji Saka: Asal Mula Huruf Jawa
Legenda Gunung Wurung
Arya Penangsang
Ki Ageng Pandanaran
Legenda Kawah Sikidang
Dewi Sri, Dewi Kesuburan
Legenda Rawa Pening
Kisah Rara Mendut 
Kali Gajah Wong
Roro Jonggrang
Syekh Belabelu
Kisah di Gua Kiskenda
Asal Mula Gunung Merapi
Asal Mula Nyamuk Berdengung
Bawang Merah dan Bawang Putih
Baron Sekender
Asal Mula Nama Dusun Gubukrubuh 
Asal Mula Makam Imogiri
Ki Ageng Mangir Wanabaya
Asal Mula Upacara Bekakak
Calon Arang
Keong Emas
Ande Ande Lumut
Legenda Gunung Kelud
Jaka Seger dan Rara Anteng
Jaka Budug dan Putri Kemuning
Legenda Gunung Arjuna
Legenda Telaga Pasir
Damarwulan dan Minakjingga
Asal Usul Nama Kota Surabaya
Masjid Terate Udik yang Keramat
Legenda Batu Kuwung
Legenda Gunung Pinang
Pangeran Pande Gelang dan Putri Cadasari
Legenda Tanjung Lesung
Legenda Prasasti Munjul
Sultan Maulana Hasanuddin
Asal Usul Nama Buleleng dan Singaraja
I Ceker Cipak
Asal Mula Selat Bali
Asal Mula Hama
Jayaprana dan Layonsari
Pan Kasim dan Ular
Harta Terpendam
Asal Mula Desa Trunyan, Kedisan, dan Abang Dukuh
Semangka Emas
Asal Mula Nama Sungai Kawat
Kisah Putung Kempat
Asal Mula Burung Ruai
Legenda Sungai Landak
Putri Anam dan Putri Bussu
Batu Menangis
Legenda Bukit Kelam
Hampang Datu
Legenda Gunung Batu Bangkai
Dewi Luing Indung Bunga
Datu Pulut: Asal Mula Burung Punai
Batu Bini dan Batu Laki
Datu Pujung
Asal Mula Pulau Kambang
Datung Ayuh dan Bambang Siwara
Ning Rangda
Asal Mula Danau Malawen
Palui
Dohong dan Tingang
Asal-Usul Ikan Patin
Nyai Balau Kehilangan Anak
Sangi Sang Pemburu
Asal Mula Sumber Garam Sepang
Asal Mula Pulau Nusa
Uder Mancing
Ambun dan Rimbun
Asal Usul Raja-Raja Suku Tunjung
Nyapu dan Moret
Legenda Pesut Mahakam
Sungai Kerbau yang Keramat
Asal Usul Orang Basap
Asal Mula Anak Sungai Mahakam
Asal Mula Nama Kota Balikpapan
Asal Mula Erau
Asal Mula Danau Lipan
Asal Usul Burung Moopoo
Napombalu
Ratu Adioa
Sigarlaki dan Limbat
Manusia Pertama di Kepulauan Talaud
Tulap dan Lelaki Tua
Kekekow Dengan Gadis Miskin
Abo Mamongkuroit
Asal Mula Ikan Duyung
Legenda Tanduk Alam
Tadulako Bulili
Legenda Kampung Payol
Asal Mula Berdirinya Kerajaan Mori
Sesentola dan Burung Garuda
Legenda Batu Bagga
Asal Usul Pohon Sagu dan Palem
La Moelu  Si Anak Yatim
La Onto-Ontolu
Anak Gadis Niining Kubaea
Asal Mula Burung Ntaapo-Apo
Indara Pitaraa dan Siraapare
Asal-Usul Gunung Saba Mpolulu
La Sirimbone
Asal Mula Nama Gunung Mekongga 
Putri Tandampalik
Ambo Upe Dan Burung Beo 
Lamadukelleng
Sawerigading
La Upe
Nenek Pakande
Sepak Bola Binatang
I Laurang
Si Penakluk Rajawali
Asal-Mula Tari Patuddu
Asal Mula Nama Pamboang
Panglima To Dilaling
Asal Mula Nama Kampung Paummisang
Hawadiyah 
I Tui-Tuing
Asal Mula Danau Limboto
Asal Mula Botu Liodu Lei Lahilote
Limonu Yang Perkasa
Asal Usul Daerah Tapa, Tuladenggi, dan Panthungo
